"Indecy Evaluation based on ""Final Topic Words""",,,,,,,,,,,,
,,Sentiment Indecies,,,Topic Indecies,,,Topic and Sentiment Indecies,,,,
,Classification Method,recall,prec,f2,recall,prec,f2,recall,prec,f2,,Notes:
All Crisis Countries,,,,,,,,,,,,
0,1+ Mentions in Title + Snippet,0.25,0.125,0.208333333,0.6,0.230769231,0.454545455,0.5,0.25,0.416666667,,Identical to 5 country - have to rerun to verify. Could be rounding or sourcing error. 
0,2+ Mentions in Title + Snippet,0.25,0.1,0.192307692,0.5,0.2,0.384615385,0,0,0,,
First 5 Crisis Countries (Title + Snippet),,,,,,,,,,,,
0,1+ Mentions in Title + Snippet,0.25,0.125,0.208333333,0.6,0.230769231,0.454545455,0.5,0.25,0.416666667,,
0,2+ Mentions in Title + Snippet,0.25,0.1,0.192307692,0.5,0.2,0.384615385,0,0,0,,
0,3+ Mentions in Title + Snippet,0.5,0.222222222,0.4,0.25,0.142857143,0.217391304,0,,0,,
0,5+ Mentions in Title + Snippet,0,,0,0,,0,0,,0,,
,,,,,,,,,,,,
0,"3+ Mentions in Title + Snippet, 0 other countries mentioned",0.25,0.142857143,0.217391304,0,0,0,0.25,0.5,0.277777778,,Will attempt with 1+ Mentions and 0 other country to check robustness
First 5 Crisis Countries (Title + Full Document),,,,,,,,,,,,
0,1+ Mentions in Title + Full Document,0.6,0.428571429,0.555555556,0.8,0.363636364,0.64516129,0.8,0.5,0.714285714,,
0,2+ Mentions in Title + Full Document,0.5,0.4,0.476190476,0.8,0.266666667,0.571428571,0.666666667,0.4,0.588235294,,
0,3+ Mentions in Title + Full Document,0.25,0.125,0.208333333,0.6,0.272727273,0.483870968,0.25,0.166666667,0.227272727,,
,,,,,,,,,,,,
First 5 Crisis Countries (Title + Snippet) + Topic Model Classifcation (Full Document),,,,,,,,,,,,
0,"1+ Mentions in Title + Snippet, Not Classified as ""Sports""",0.6,0.428571429,0.555555556,0.8,0.363636364,0.64516129,0.8,0.5,0.714285714,,Exclusion of seemingly irrelevant topic decreased performance
0,"1+ Mentions in Title + Snippet, Not Classified as ""Sports"", ""Weather"", ""Theater"", or ""Movies""",0.5,0.333333333,0.454545455,0.6,0.272727273,0.483870968,0.8,0.5,0.714285714,,Exclusion of seemingly irrelevant topic decreased performance
